Name,Size,Price,Medium,ID number,Catalog,Availability
Look Deeper,15x20,300.00,Watercolor,1,1,1
Confrontation of Vulnerability,11x14,150.00,Acrylic,2,1,1
Unamused,5x7,50.00,Acrylic,3,1,0
Jellyfish,5x7,50.00,Acrylic,4,1,0
Watching,5x7,50.00,Acrylic,5,1,1
Strife with a kindred Spirit,9x12,100.00,Acrylic,6,1,0
Crowded Lonliness,11x14,250.00,Acrylic,7,1,1
Expansion into Twilight,16x20,350.00,Acrylic,8,1,1
Night in Shining Armor,15x20,300.00,Watercolor,9,1,1
The Door,15x20,350.00,Watercolor,10,1,1
The Beatles,18x24,500.00,Watercolor,11,1,1
Alien Landscape,9x12,150.00,Watercolor,12,1,1
Abstract eye postcard,4x6,10.00,Watercolor,13,1,0
Nature is watching,15x20,400.00,Watercolor,14,1,1
Into the Abyss,11x14,300.00,Acrylic,15,1,1
Infinite exquisite stasis,15x20,350.00,Watercolor,16,1,1
Blue Alien,5x7,50.00,Acrylic,17,1,1
Acrylic Abstract,5x7,50.00,Acrylic,18,1,1
Geometric Spider,5x7,50.00,Acrylic,19,1,1
Tentacool,5x7,50.00,Acrylic,20,1,1
Abstract postcard,4x6,10.00,Ink,21,1,0
Abstract door postcard,4x6,10.00,Watercolor,22,1,0
Robot postcard,4x6,10.00,Watercolor,23,1,0
Camping Card,5x7,12.00,Marker,24,1,0
Abstract eye card,5x7,12.00,Colored pencil,25,1,0
Impassioned Eruption,9x12,150.00,Watercolor,26,1,1
Extraterrestrial Kinship,8x10,75.00,Acrylic,27,1,1
Disclosing the compass,8x10,75.00,Acrylic,28,1,1
Extraneous Civilization,8x10,100.00,Acrylic,29,1,1
Elevation of Alchemy,8x10,125.00,Acrylic,30,1,1
Inferno of Puzzlement,9x12,150.00,Acrylic,31,1,1
Vulnerability,9x12,75.00,Acrylic,32,1,1
Marching through the extension,11x14,300.00,Acrylic,33,1,1
Astounding Transmission,11x14,300.00,Acrylic,34,1,1
Mechanism of the master,8x10,125.00,Acrylic,35,1,1
Egress of delusion,8x10,75.00,Acrylic,36,1,1
